"scenario","metric","pop","before","after","diff","timescale","basis","data_type","resolution"
55,"Bio","spp_1",82586.6752396837,79506.1376425262,-3.73006612533694,"monthly","high_ratio","real_pop",20
56,"Bio","spp_1",82586.6752396837,79506.1376425262,-3.73006612533694,"yearly","high_ratio","real_pop",20
16,"Rec","spp_2",309282.037795219,298112.847171836,-3.61132857989572,"monthly","high_pop","commercial",5
10,"Catch","spp_2",199139.766897749,191963.413030557,-3.60367694458353,"monthly","high_pop","real_pop",1
11,"Catch","spp_2",199139.766897749,191963.413030557,-3.60367694458353,"yearly","high_pop","real_pop",1
36,"F","spp_4",0.466133793069757,0.449361759026489,-3.59811588274134,"yearly","high_ratio","survey",10
40,"F","spp_4",0.466133793069757,0.449361759026489,-3.59811588274134,"weekly","high_ratio","real_pop",10
41,"F","spp_4",0.466133793069757,0.449361759026489,-3.59811588274134,"monthly","high_ratio","real_pop",10
42,"F","spp_4",0.466133793069757,0.449361759026489,-3.59811588274134,"yearly","high_ratio","real_pop",10
30,"Catch","spp_1",39277.4551209366,37868.397939343,-3.58744520808473,"monthly","high_pop","commercial",10
31,"F","spp_3",1.08532310328682,1.04661576167419,-3.56643487044664,"yearly","high_pop","commercial",10
43,"Catch","spp_1",39277.4551209366,37879.3489164901,-3.55956413199822,"weekly","high_pop","commercial",20
1,"Rec","spp_2",309282.037795219,298371.705733868,-3.52763197602032,"weekly","high_pop","commercial",1
3,"Catch","spp_2",199139.766897749,192190.250706304,-3.4897681662012,"yearly","high_pop","commercial",1
22,"Rec","spp_1",60113.3035434758,58101.1124276107,-3.34733078578828,"yearly","high_ratio","survey",5
38,"Catch","spp_1",39277.4551209366,37981.3416533096,-3.2998916646618,"monthly","high_pop","real_pop",10
39,"Catch","spp_1",39277.4551209366,37981.3416533096,-3.2998916646618,"yearly","high_pop","real_pop",10
1,"Catch","spp_2",199139.766897749,192576.569852292,-3.29577419302014,"weekly","high_pop","commercial",1
9,"Rec","spp_2",309282.037795219,299224.561368252,-3.25187860849079,"weekly","high_pop","real_pop",1
26,"Bio","spp_2",216238.443821354,209284.26041333,-3.21597921494873,"weekly","high_ratio","real_pop",5
27,"Bio","spp_2",216238.443821354,209284.26041333,-3.21597921494873,"monthly","high_ratio","real_pop",5
28,"Bio","spp_2",216238.443821354,209284.26041333,-3.21597921494873,"yearly","high_ratio","real_pop",5
24,"Rec","spp_2",309282.037795219,299400.436426446,-3.19501301763787,"monthly","high_pop","real_pop",5
25,"Rec","spp_2",309282.037795219,299400.436426446,-3.19501301763787,"yearly","high_pop","real_pop",5
46,"F","spp_3",1.08532310328682,1.05093423564664,-3.16853732644629,"weekly","high_ratio","commercial",20
34,"Catch","spp_1",39277.4551209366,38043.0597704195,-3.14275796819433,"yearly","high_ratio","commercial",10
22,"F","spp_4",0.466133793069757,0.451535276954056,-3.13182960187475,"yearly","high_ratio","survey",5
17,"Catch","spp_2",199139.766897749,192941.940068289,-3.11229993185743,"yearly","high_pop","commercial",5
37,"F","spp_2",0.788847477234695,0.764405594217261,-3.09842950922721,"weekly","high_pop","real_pop",10
34,"Bio","spp_2",216238.443821354,209552.141473885,-3.09209695986912,"yearly","high_ratio","commercial",10
20,"Rec","spp_1",60113.3035434758,58326.5924765333,-2.97223902467828,"yearly","high_ratio","commercial",5
13,"Bio","spp_2",216238.443821354,209842.744009116,-2.9577071029618,"monthly","high_ratio","real_pop",1
14,"Bio","spp_2",216238.443821354,209842.744009116,-2.9577071029618,"yearly","high_ratio","real_pop",1
16,"Catch","spp_2",199139.766897749,193349.586780769,-2.90759611060159,"monthly","high_pop","commercial",5
52,"F","spp_4",0.466133793069757,0.45266108973112,-2.89030822028836,"monthly","high_pop","real_pop",20
53,"F","spp_4",0.466133793069757,0.45266108973112,-2.89030822028836,"yearly","high_pop","real_pop",20
24,"Catch","spp_2",199139.766897749,193393.516292844,-2.88553647240913,"monthly","high_pop","real_pop",5
25,"Catch","spp_2",199139.766897749,193393.516292844,-2.88553647240913,"yearly","high_pop","real_pop",5
12,"Bio","spp_2",216238.443821354,210053.488278913,-2.86024789724743,"weekly","high_ratio","real_pop",1
37,"Catch","spp_1",39277.4551209366,38162.8476535038,-2.83777924002682,"weekly","high_pop","real_pop",10
22,"Catch","spp_1",39277.4551209366,38184.3861858493,-2.78294235642745,"yearly","high_ratio","survey",5
35,"Catch","spp_1",39277.4551209366,38237.7410274192,-2.64710147415647,"yearly","high_pop","survey",10
8,"F","spp_3",1.08532310328682,1.05664079563784,-2.64274367348497,"yearly","high_ratio","survey",1
